method,support_size,query_count,psnr,ssim,action_query_rollout_count,action_aggregated_candidate_count,action_decision_count,action_success_rate,action_oracle_reachable_count,action_oracle_reachable_success_rate,light_final_state_accuracy,light_state_accuracy,light_transition_exact_rate,light_transition_time_abs_error_frames,light_yellow_score_final_abs_error,light_yellow_score_mae,light_yellow_score_rmse
ours,8,60,33.45373299916585,0.9443145757371728,30,8,8,0.875,8,0.875,0.9333333333333333,0.9636363636363636,0.8333333333333334,2.3,0.04958252006072436,0.03581767578189178,0.04586834914139775
standard_pooled_wm,0,60,32.61891361872355,0.94799679984348,30,8,8,0.5,8,0.5,0.6,0.8020202020202021,0.5166666666666667,13.283333333333333,0.18819670353502493,0.10349608643362711,0.1394071603548087
