method,event80_psnr,event80_ssim,event80_lpips,event80_object_metric_value,event80_object_metric_final_value,event80_object_metric_name,event80_object_metric_unit,event80_action_success,gravity_psnr,gravity_ssim,gravity_lpips,gravity_object_metric_value,gravity_object_metric_final_value,gravity_object_metric_name,gravity_object_metric_unit,gravity_action_success,mass_collision_psnr,mass_collision_ssim,mass_collision_lpips,mass_collision_object_metric_value,mass_collision_object_metric_final_value,mass_collision_object_metric_name,mass_collision_object_metric_unit,mass_collision_action_success,light_switch_psnr,light_switch_ssim,light_switch_lpips,light_switch_object_metric_value,light_switch_object_metric_final_value,light_switch_object_metric_name,light_switch_object_metric_unit,light_switch_action_success,mass_balance_psnr,mass_balance_ssim,mass_balance_lpips,mass_balance_object_metric_value,mass_balance_object_metric_final_value,mass_balance_object_metric_name,mass_balance_object_metric_unit,mass_balance_action_success,mass_friction_psnr,mass_friction_ssim,mass_friction_lpips,mass_friction_object_metric_value,mass_friction_object_metric_final_value,mass_friction_object_metric_name,mass_friction_object_metric_unit,mass_friction_action_success,pushbox_multibackground_psnr,pushbox_multibackground_ssim,pushbox_multibackground_lpips,pushbox_multibackground_object_metric_value,pushbox_multibackground_object_metric_final_value,pushbox_multibackground_object_metric_name,pushbox_multibackground_object_metric_unit,pushbox_multibackground_action_success
Standard Pooled WM,31.1126110289,0.9512804455,0.066700095,11.0626324,24.4115669932,Object Centroid,px,0.32,32.5094810698,0.9522585897,0.0344998174,21.4246314,34.8779210562,Object Centroid,px,0.2352941176,29.8049897194,0.9623012794,0.0904242676,21.9328527,25.736414534,Object Centroid,px,0.3888888889,32.6189145406,0.9479967998,0.0186951045,0.1034960864,0.1881967035,Lamp Intensity,score,0.5,32.96856083503137,0.9607626206767492,0.024398168076116306,1.1844499692473058,4.557094851157406,Bar Tilt,deg,0.4,31.0774675369,0.9648366005,0.0609880909,16.0218932,29.2454469929,Object Centroid,px,0.35000000000000003,28.201082187228728,0.8045889176759455,0.10586547702550889,8.02603345038876,16.18305496394699,Object Centroid,px,0.4583333333333333
LoRA TTA,32.0305892732,0.9534704348,0.0581931916,8.19015242,19.1901566461,Object Centroid,px,0.48,33.3280329598,0.9540976238,0.023058321,7.90046979,13.7136703883,Object Centroid,px,0.4705882353,30.0492417336,0.9619245981,0.069110339,15.87042263,24.5877312348,Object Centroid,px,0.3333333333,33.12328128814697,0.9485057978919058,0.0174950047240903,0.08281366035107088,0.147690305790501,Lamp Intensity,score,0.5,24.89535933274489,0.8857624861469412,0.06309694828322301,1.7975106682579431,7.310538616540657,Bar Tilt,deg,0.5,29.8653152704,0.9610607465,0.070110374,16.82824858,26.930177561,Object Centroid,px,0.26666666666666666,27.985777134365502,0.8006526753637525,0.10741125345230103,6.580490084501955,16.232762193954365,Object Centroid,px,0.5833333333333334
DINOv2 Context,30.6967826631,0.9494627636,0.0681499333,11.8141519,26.1703010268,Object Centroid,px,0.48,34.09516152275933,0.9563566738139085,0.019473417361991274,5.9300029924646855,8.82895184652123,Object Centroid,px,0.7647058823529411,31.03859622478485,0.9667951221959512,0.053974001808092,8.526421727304418,10.2100786169,Object Centroid,px,0.3888888888888889,33.0738995234,0.9522954091,0.016034239,0.1000418959,0.1836749078,Lamp Intensity,score,0.5,33.2625269816472,0.9621318837044164,0.023912931548861358,1.263568938800828,4.9480243892307385,Bar Tilt,deg,0.3,31.36671099662781,0.9664255161998703,0.05650115123717114,11.811561397574742,19.0756324468,Object Centroid,px,0.6083333333333333,27.999539841545953,0.8101055667301018,0.1063623882830143,7.736721339585418,16.006474003613008,Object Centroid,px,0.5833333333333334
TTT-KQV,30.7789604187,0.948839946,0.0648913885,10.8136638,23.8675128845,Object Centroid,px,0.32,33.3080467436,0.9548797975,0.029088736,18.95723597,30.9354948256,Object Centroid,px,0.3529411765,29.3845044136,0.960043644,0.084207404,20.97531743,29.2930041061,Object Centroid,px,0.5555555556,32.6917781512,0.9523160458,0.0160710784,0.1047955153,0.1887117762,Lamp Intensity,score,0.5,32.11395265139066,0.9564854404827889,0.031232861486765053,2.507469265724529,10.175889581468788,Bar Tilt,deg,0.3,29.73915808200836,0.9614130744191467,0.07264170590788126,18.951118369816783,29.14112422822884,Object Centroid,px,0.3333333333333333,27.691123941209582,0.79017388186521,0.11160413838095136,7.778337814481479,15.586915013508378,Object Centroid,px,0.5833333333333334
Ours,31.975629637,0.9512595724,0.0495121968,3.85398252,7.5931047649,Object Centroid,px,0.72,33.3889486737,0.950408559,0.0202085289,7.34081366,11.0652613308,Object Centroid,px,0.8235294118,31.1501887798,0.9625413722,0.0537618943,6.45219353,8.1321381985,Object Centroid,px,0.6111111111,33.5172878583,0.9442166709,0.0150229902,0.0342745937,0.0473541531,Lamp Intensity,score,0.875,32.8140349314763,0.960062493683026,0.02395390772189085,0.640287438006705,2.0842302290931967,Bar Tilt,deg,0.8,30.6733222961,0.9630712652,0.0499914565,8.14806081,13.7221825827,Object Centroid,px,0.6972222222222223,28.80352024502224,0.8203555447856585,0.08883595168590545,3.714547410660129,6.340304798587124,Object Centroid,px,0.6666666666666666
