sample_index,split,friction_mu,inner_steps,context_total_delta_l2,context_path_l2,nonzero_steps,pc1_initial,pc2_initial,pc1_final,pc2_final,nearest_active_mu_initial,nearest_active_mu_final,nearest_active_l2_initial,nearest_active_l2_final,true_table_l2_initial,true_table_l2_final,true_table_progress
4,ID,0.125,40,0.6742545814419614,1.6627823372202881,40,6.287128945252358e-08,3.379914590176684e-08,0.31883352867263953,0.5259296252906472,2.0,0.1666666716337204,0.27617192152206566,0.25208893240939056,0.6963830959392998,0.26831724366534343,0.6146987983626597
97,ID,0.2,40,1.1462817863455237,2.547717315892532,40,6.287128945252358e-08,3.379914590176684e-08,0.5979029961579433,0.8419352754200979,2.0,0.125,0.27617192152206566,0.6478809781260496,0.519595011010224,0.7434578826729312,-0.43084107221788226
181,ID,0.3333333333,40,0.24677085972135568,0.37323916106755983,40,6.287128945252358e-08,3.379914590176684e-08,0.22026150089505664,-0.0074981289283351845,2.0,1.25,0.27617192152206566,0.27612221734100806,0.7984588403181456,0.6702653653954785,0.16055113732799106
277,ID,0.5,40,0.2759801317147687,0.37961908131567695,40,6.287128945252358e-08,3.379914590176684e-08,0.2466422449797512,-0.03319256424611662,2.0,1.25,0.27617192152206566,0.26656758104400957,0.45746911641558224,0.3252027664623737,0.2891262933540912
373,ID,0.8,40,0.20298811414795506,0.2961013518266197,40,6.287128945252358e-08,3.379914590176684e-08,0.16718449567800314,-0.06221686855037201,2.0,1.25,0.27617192152206566,0.22928915148484186,0.48274977700357846,0.34291365934676993,0.2896658358389505
481,ID,1.25,40,0.20331461970819237,0.5858177846835517,40,6.287128945252358e-08,3.379914590176684e-08,0.17700125485549667,-0.05143392307365192,2.0,1.25,0.27617192152206566,0.25562420202124775,0.34649698538996926,0.25562420202124775,0.2622613967808338
565,ID,2.0,40,0.15469963146448834,0.37175744673860106,40,6.287128945252358e-08,3.379914590176684e-08,-0.07467937881837884,-0.08362955199047051,2.0,2.0,0.27617192152206566,0.17158923419525607,0.27617192152206566,0.17158923419525607,0.37868689456344173
673,ID,3.0,40,0.1161179334587235,0.1896017356826594,40,6.287128945252358e-08,3.379914590176684e-08,-0.05693056614908122,-0.0658217614748482,2.0,2.0,0.27617192152206566,0.19476052964222584,0.4659693919418304,0.41019315347474333,0.11969936101307257
757,ID,5.0,40,0.4957932761012557,1.005538750840972,40,6.287128945252358e-08,3.379914590176684e-08,-0.4861176034049371,0.026040507383929896,2.0,7.0,0.27617192152206566,0.1944719690707188,0.5967693788913256,0.20639636528083188,0.6541438408514295
895,ID,8.0,40,0.4829025488512698,0.8888039897578918,40,6.287128945252358e-08,3.379914590176684e-08,-0.46060885949156216,0.040134969158395824,2.0,7.0,0.27617192152206566,0.2161965547280521,0.7415121718485794,0.34193522376118507,0.5388676858685335
