action_eligible_decisions_all,action_mean_coverage_all,action_mean_regret_all,action_selected_oracle_all,action_success_all,action_success_id,action_success_ood,action_uniform_random_success_all,centroid_ade_normalized,centroid_ade_px,centroid_fde_normalized,centroid_fde_px,centroid_prediction_missing_rate,environment_count,lpips_multiview,method,psnr_main,psnr_multiview,psnr_wrist,query_count,ssim_main,ssim_multiview,ssim_wrist
25,1,0.025093702524544615,0.48,0.68,0.6923076923076923,0.6666666666666666,0.172,0.012165969538704002,3.853982523115905,0.023969356560239838,7.593104764861884,0,10,0.04951219680822558,ours,35.04787771436903,31.975629636976453,32.401205910576714,90,0.9718302030861377,0.951259572390053,0.9295489015512997
25,1,0.04215934781943938,0.24,0.32,0.3076923076923077,0.3333333333333333,0.172,0.03492170704381277,11.062632385857935,0.0770606453584322,24.41156699321046,0,10,0.06670009500036636,standard_pooled_wm,34.785120730929904,31.11261102888319,31.148029200236003,90,0.9722407821979788,0.9512804454565048,0.9291655287974411
25,1,0.04780486079229658,0.28,0.4,0.3076923076923077,0.5,0.172,0.02585407282886571,8.190152417924649,0.0605780798951351,19.1901566461295,0.0027777777777777775,10,0.05819319159620338,lora_tta,34.77114427354601,32.030589273240835,33.144450166490344,90,0.9719713887903426,0.9534704348113803,0.9338772834340732
25,1,0.038554220675856406,0.4,0.48,0.46153846153846156,0.5,0.172,0.03729404862268952,11.814151856194055,0.08261248804353669,26.17030102681226,0,10,0.06814993330174021,dinov2_amortized_context,34.345391760932074,30.696782663133412,31.161663013034392,90,0.9712473701768453,0.9494627635843225,0.9264767736693222
25,1,0.04498338653066326,0.28,0.44,0.46153846153846156,0.4166666666666667,0.172,0.03892306136919663,12.33019676613719,0.08692065484122695,27.535058639606284,0,10,0.06579925113668045,history_conditioned_wm,34.643609025743274,30.93557487063938,31.619264835781518,90,0.973061167250077,0.9519417069852352,0.9296699212160375
25,1,0.04487092646607778,0.24,0.32,0.3076923076923077,0.3333333333333333,0.172,0.03413578113085111,10.813663758788627,0.07534321522617551,23.86751288446616,0,10,0.06489138847423924,ttt_kqv,34.73460364871555,30.77896041870117,30.69073316786024,90,0.9724190467761622,0.9488399460083908,0.9240454560683833
25,1,0.021617988510850353,0.48,0.64,0.6153846153846154,0.6666666666666666,0.172,0.013733122282992302,4.350431184139237,0.028262198105655528,8.953007585422487,0,10,0.05867205369803641,joint_model_latent_training,34.718386522928874,31.73739373948839,31.866987906561956,90,0.9695202817685076,0.949415599041515,0.9281525290343497
25,1,0.02798417417784054,0.48,0.64,0.6923076923076923,0.5833333333333334,0.172,0.022192764643127496,7.030309158849763,0.04944131203828015,15.662208581836534,0,10,0.06571767023868032,joint_model_latent_training_curriculum700_step4200,34.099359809027774,31.203474744160967,31.447795232137043,90,0.9679562666681077,0.9465033932692475,0.9238283152712716
25,1,0.0292365488760542,0.44,0.56,0.6153846153846154,0.5,,0.01948599111723648,6.172847052798156,0.04045099642559822,12.814221897475395,0.0002777777777777778,10,0.05491223529809051,all_active_iterative_no_curriculum,34.90276624891493,31.799470074971516,32.4017877790663,90,0.9708874348302683,0.9514290887117385,0.9308304879069329
25,1.0,0.020701846835582058,0.52,0.72,0.6923076923076923,0.75,,0.014761692656695549,4.676265654744806,0.029552447326718252,9.361737685610569,0.0,10,0.054245528640846405,latent_c1_ordered_88821,33.9929259830051,31.176867866516112,31.136443625556097,90,0.968379451284806,0.9480957527955371,0.9266033329400752
25,1.0,0.020910025325576245,0.48,0.68,0.6923076923076923,0.6666666666666666,,0.014088759829064452,4.463091410910764,0.025446262376086236,8.060964657528244,0.0,10,0.05437957545121511,latent_c1_ordered_88821_c32schedule,34.02199539608425,31.129139455159503,30.97592012617323,90,0.9684068964090612,0.9482224745386176,0.9268322615822158
25,1.0,0.03397669644143055,0.36,0.56,0.5384615384615384,0.5833333333333334,,0.025057934837143803,7.937948769352005,0.05044805282603693,15.981127792424653,0.0,10,0.06312063518497679,latent_c32_shared_88822,33.97828123304579,30.63829097747803,31.14819278717041,90,0.968924849000242,0.9465510469343927,0.9229269717964861
25,1.0,0.027019171773855127,0.52,0.6,0.6153846153846154,0.5833333333333334,,0.015181660916336498,4.809304811860108,0.030723207562326115,9.732615606390933,0.0,10,0.049499506068726384,latent_c32_jitter005_89030,35.11220018598768,32.172175047132704,32.714066399468315,90,0.9710492004454135,0.9508689274721676,0.9295558618505796
