task,variant,queries,psnr,ssim,lpips,ade_px,fde_px,action_pct
door,Official Ours,100,30.15,0.9117,0.0476,14.07,23.08,77.78
door,Sim-LR / mean init,100,32.0701943005731,0.9266010343314189,0.033606871645897624,9.010265096610665,15.75,61.111111111111114
ball,Official Ours,80,34.16,0.9529,0.03282,21.74,40.55,56.25
ball,Sim-LR / mean init,80,35.95538321371308,0.9600084427272801,0.02883335013175383,20.35599041476744,41.135775005603364,56.25
stick,Official Ours,45,30.91,0.93418,0.04859,2.78,5.66,50.0
stick,Sim-LR / mean init,45,32.04638067005488,0.942710754845238,0.0417545146176657,2.2689623546872233,5.013995412611595,83.33333333333334
soft,Official Ours,12,32.61,0.96146,0.07555,18.1,22.38,81.82
soft,Sim-LR / mean init,12,32.580126985822666,0.9614342379249438,0.0752927090839616,18.243872733558394,22.5899627137585,81.81818181818181
