sample_index,split,friction_mu,inner_steps,context_total_delta_l2,context_path_l2,nonzero_steps,pc1_initial,pc2_initial,pc1_final,pc2_final,nearest_active_mu_initial,nearest_active_mu_final,nearest_active_l2_initial,nearest_active_l2_final,true_table_l2_initial,true_table_l2_final,true_table_progress
4,ID,0.125,40,0.6741024401546323,1.12260072174236,40,6.287128945252358e-08,3.379914590176684e-08,0.32063055486267966,0.46993547352954884,2.0,0.20000000298023224,0.27617192152206566,0.3053940188621859,0.6963830959392998,0.41449438196363486,0.40478971362084265
241,ID,0.4,40,0.41960331977694815,0.8432060632090014,40,6.287128945252358e-08,3.379914590176684e-08,0.34005100914843267,0.14355053343140878,2.0,0.20000000298023224,0.27617192152206566,0.1666156948368373,0.49781557315049585,0.37747333050797666,0.24174061466361205
481,ID,1.25,40,0.19356339505103776,0.566239030990713,40,6.287128945252358e-08,3.379914590176684e-08,0.1686589076466401,-0.055269632843021534,2.0,1.25,0.27617192152206566,0.2475975463282351,0.34649698538996926,0.2475975463282351,0.28542654981666454
673,ID,3.0,40,0.12909981620830216,0.22650190009216412,40,6.287128945252358e-08,3.379914590176684e-08,-0.0560395499609239,-0.07710685156102424,2.0,2.0,0.27617192152206566,0.18419241255339494,0.4659693919418304,0.41015550487809255,0.11978015729991429
895,ID,8.0,40,0.55744077415859,0.8765811472140427,40,6.287128945252358e-08,3.379914590176684e-08,-0.5202353279318597,0.06321426941823288,2.0,7.0,0.27617192152206566,0.19474979930912215,0.7415121718485794,0.3211485172438045,0.5669005453502054
907,OOD,0.1538930517,40,1.4426698884319527,3.334916701387432,40,6.287128945252358e-08,3.379914590176684e-08,0.6094936290652015,1.0688365133840012,2.0,0.125,0.27617192152206566,0.9621826028141784,,,
1006,OOD,0.3535533906,40,0.496065651731552,1.7693027490117113,40,6.287128945252358e-08,3.379914590176684e-08,0.3820063246471534,0.27127935090469113,2.0,0.20000000298023224,0.27617192152206566,0.18695468355708988,,,
1105,OOD,0.8122523964,40,0.3189768638173122,0.9047150696368313,40,6.287128945252358e-08,3.379914590176684e-08,0.3002130917556206,-0.030552190936676556,2.0,1.25,0.27617192152206566,0.29410304054778375,,,
1258,OOD,2.8284271247,40,0.13096969924234977,0.28287897854136823,40,6.287128945252358e-08,3.379914590176684e-08,-0.049811965681144516,-0.06740980439301253,2.0,2.0,0.27617192152206566,0.18685747625829616,,,
1342,OOD,6.4980191708,40,0.4811267092147029,0.8451937127985969,40,6.287128945252358e-08,3.379914590176684e-08,-0.4612730004119252,0.03433341056079789,2.0,7.0,0.27617192152206566,0.2171635780039711,,,
