sample_index,split,friction_mu,inner_step,pc1,pc2,context_delta_l2,nearest_active_mu,nearest_active_l2
0,ID,0.002,40,-0.24591691403992572,-0.0793340581893171,0.26392507661938763,0.042,0.11120806631843602
10,OOD,0.0036,40,-0.29241214232300017,-0.09221841790294977,0.3138189913581471,0.002,0.1256535201178552
193,OOD,0.0324,40,-0.245970353737121,-0.06514116739118989,0.2623511781112795,0.042,0.12032148220988531
203,ID,0.034,40,-0.23460001530607694,-0.06844868511710986,0.25093190477991545,0.042,0.11927792238995068
374,OOD,0.0675,40,-0.059949884434963435,-0.01665454931052777,0.08612522001057722,0.0575,0.10180593416520822
404,ID,0.075,40,-0.048177195751127215,-0.008189659538774952,0.07080222514730021,0.0575,0.09494113244275844
596,ID,0.1225,40,0.12018444427518016,-0.011555834291815305,0.14066509060614854,0.1225,0.13048882188214517
606,OOD,0.12499999999999999,40,0.2084024849178707,-0.00047494694262920165,0.2232415436432054,0.1225,0.12138230764555137
788,OOD,0.19444444444444445,40,0.22509293774482414,-0.006622884653262653,0.2359503848201388,0.1225,0.14381389281097118
798,ID,0.2,40,0.22526464369670612,-0.023471294466274058,0.24673872443024908,0.1225,0.18111299511910703
